Time [s],Lmtc [m],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ]
0.0,0.0216391435372587,1.0,3.2712547778577057,0.10008668908389924,1.3445924268668081,0.2884699952285457
0.001,0.021619857822972984,1.0,2.756003496038791,0.11628418295972975,1.3443425256715298,0.39446251648480846
0.002,0.02160057210868727,1.0,2.824644559372792,0.13219013897144963,1.3427768415896246,0.49306942245904634
0.003,0.021581286394401555,1.0,3.1145195320405015,0.14780980444913677,1.3407163484452869,0.5791165612841779
0.004,0.021562000680115843,1.0,3.4749721203827133,0.16314833243737542,1.338537609202142,0.6512657354288262
0.005,0.02154271496583013,1.0,3.8434386406440217,0.1782107829731636,1.336382108550865,0.7103577526156852
0.006,0.021523429251544414,1.0,4.192482152151096,0.19300212481143775,1.334298628672036,0.7581772576110511
0.007,0.0215041435372587,1.0,4.510725638515856,0.2075272391292862,1.3322991484183673,0.7967074107697979
0.008,0.021484857822972984,1.0,4.7949384815799725,0.22179091564383024,1.3303806281050665,0.8277725928539106
0.009000000000000001,0.02146557210868727,1.0,5.045798593322874,0.2357978619943878,1.3285347673906305,0.8529131223344268
0.01,0.021446286394401555,1.0,5.265903764885542,0.24955268243005088,1.3267517871631287,0.8733731148786373
0.011,0.02142700068011584,1.0,5.459013982923335,0.26305996564001816,1.325021509701264,0.8901344426069799
0.012,0.02140771496583013,1.0,5.628295497377077,0.27632411541388013,1.323335961531847,0.9039640337750613
0.013000000000000001,0.021388429251544414,1.0,5.777224523638655,0.28934950617142513,1.3216875068735423,0.9154579421030297
0.014,0.0213691435372587,1.0,5.909153703603336,0.3021404652536605,1.320069350760888,0.9250797135464076
0.015,0.021349857822972985,1.0,6.026720619173963,0.3147012220784049,1.318476301736881,0.9331911239378523
0.016,0.02133057210868727,1.0,6.1319784718585595,0.32703587503312115,1.3169044013690723,0.9400757473958371
0.017,0.021311286394401555,1.0,6.227028454559214,0.3391484996110545,1.315349830362012,0.9459569478356185
0.018000000000000002,0.02129200068011584,1.0,6.313676515537437,0.35104314516269963,1.313809396420575,0.9510118701288302
0.019,0.021272714965830126,1.0,6.393132322514976,0.36272370411474136,1.3122809477487751,0.9553819522472111
0.02,0.021253429251544415,1.0,6.4664488149079435,0.37419399913468127,1.3107626503213996,0.9591807827957305
0.021,0.0212341435372587,1.0,6.534648570518848,0.3854578130778928,1.3092527753958891,0.9625001622258399
0.022,0.021214857822972985,1.0,6.598609202241576,0.3965189420568865,1.3077498620592773,0.9654147992774242
0.023,0.02119557210868727,1.0,6.658893043603782,0.4073810022881794,1.3062529613937959,0.9679858591503284
0.024,0.021176286394401556,1.0,6.715964591420459,0.41804752376150767,1.3047612945073872,0.970263704256267
0.025,0.02115700068011584,1.0,6.770300181848799,0.4285220364666075,1.3032740825079931,0.9722900423450271
0.026000000000000002,0.021137714965830126,1.0,6.8223038982176405,0.4388079685637117,1.3017906699138657,0.97409960095192
0.027,0.02111842925154441,1.0,6.872333879521632,0.44890887134322094,1.3003104817977034,0.9757214852062751
0.028,0.0210991435372587,1.0,6.920591800243835,0.4588279947178831,1.2988331847233583,0.9771801606323242
0.029,0.021079857822972985,1.0,6.967261527394663,0.46856854441393425,1.2973584774666622,0.9784963147979518
0.03,0.02106057210868727,1.0,7.01253038931897,0.4781337261576107,1.295886058803447,0.9796875254820647
0.031,0.021041286394401556,1.0,7.056586157011344,0.487526730940659,1.2944156315755835,0.9807687928728817
0.032,0.02102200068011584,1.0,7.099562524720119,0.4967506202326595,1.2929469819311796,0.9817529648927882
0.033,0.021002714965830126,1.0,7.141589691306059,0.5058086374885888,1.291479904187423,0.9826511195337035
0.034,0.02098342925154441,1.0,7.182736546172237,0.5147036468817368,1.2900142844752767,0.983472793980727
0.035,0.0209641435372587,1.0,7.223073100671743,0.5234385125853925,1.2885500089257043,0.984226260837299
0.036000000000000004,0.020944857822972986,1.0,7.262670435414688,0.5320160987728457,1.2870869636696691,0.9849187210695176
0.037,0.02092557210868727,1.0,7.301600651858818,0.5404392696173856,1.2856250348381342,0.9855564639808749
0.038,0.020906286394401556,1.0,7.339926137524321,0.5487107792649948,1.2841641239154884,0.9861449925636192
0.039,0.02088700068011584,1.0,7.377696458350568,0.5568335001374338,1.2827041519371989,0.9866891544622536
0.04,0.020867714965830127,1.0,7.414948110653163,0.5648101130453858,1.2812450595531557,0.987193210383094
0.041,0.020848429251544412,1.0,7.451709141327075,0.5726431522740706,1.2797868001665096,0.9876609188331475
0.042,0.020829143537258697,1.0,7.48800799160622,0.5803351521087081,1.278329327180411,0.9880956133664397
0.043000000000000003,0.020809857822972986,1.0,7.523873484601485,0.5878886468345181,1.2768725939980106,0.9885002583690667
0.044,0.02079057210868727,1.0,7.559334813555852,0.5953061707367205,1.2754165540224591,0.9888774965889755
0.045,0.020771286394401556,1.0,7.594416037323363,0.6025901394590926,1.273961168413097,0.98922968341184
0.046,0.02075200068011584,1.0,7.629137838770896,0.6097431054045658,1.2725064035055487,0.9895589367691847
0.047,0.020732714965830127,1.0,7.663515235755756,0.6167673947838325,1.2710522339593797,0.9898671466193036
0.048,0.020713429251544412,1.0,7.697560943043052,0.6236652442118538,1.2695986379417779,0.9901560097075663
0.049,0.020694143537258698,1.0,7.731287846699627,0.6304388903035909,1.2681455936199304,0.9904270566345773
0.05,0.020674857822972986,1.0,7.76470900003697,0.6370905696740049,1.2666930791610256,0.9906816709003585
0.051000000000000004,0.02065557210868727,1.0,7.797837619710833,0.6436225189380571,1.2652410727322507,0.9909211054774161
0.052000000000000005,0.020636286394401557,1.0,7.830684106173495,0.650036852378422,1.2637895566384247,0.9911464921435756
0.053,0.020617000680115842,1.0,7.863258720982031,0.6563358389204028,1.262338513559249,0.9913588664105359
0.054,0.020597714965830127,1.0,7.895568529505728,0.6625215011417425,1.2608879307749994,0.9915591614029142
0.055,0.020578429251544413,1.0,7.92761995158804,0.6685958129506835,1.2594377965915498,0.9917482267775214
0.056,0.020559143537258698,1.0,7.959419495860388,0.6745607482554684,1.257988099314774,0.9919268392361511
0.057,0.020539857822972983,1.0,7.9909737580303,0.68041828096434,1.2565388272505462,0.9920957099232417
0.058,0.02052057210868727,1.0,8.022289419217449,0.6861703849855406,1.25508996870474,0.9922554909725507
0.059000000000000004,0.020501286394401557,1.0,8.053371498403688,0.6918189101763599,1.2536415143770139,0.9924067770670211
