Time [s],Lmtc [m],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ]
0.0,0.018520111312323083,1.0,6.946363019930556,0.4636388312962144,0.8971438755923639,0.8837247334758278
0.0005,0.018519555756767527,1.0,7.0396146738240475,0.46826607228248424,0.8960339289427729,0.8864598366970955
0.001,0.01851900020121197,1.0,7.131529930111954,0.4728553953836603,0.8949462734904526,0.8890922813317189
0.0015,0.018518444645656416,1.0,7.222006141553602,0.4774050778835051,0.8938816408470721,0.8916261826603995
0.002,0.01851788909010086,1.0,7.311052775745036,0.4819154687166587,0.8928394932073295,0.8940662616555096
0.0025,0.018517333534545304,1.0,7.398683192983536,0.4863869275870436,0.8918192716380502,0.8964169653264182
0.003,0.01851677797898975,1.0,7.484912735284709,0.49081981419858267,0.8908204172060595,0.8986824861706125
0.0035,0.018516222423434193,1.0,7.5697546034872225,0.4952144705194548,0.8898424158132614,0.9008667858351513
0.004,0.018515666867878637,1.0,7.653212923631827,0.49957119140195194,0.8888848724681804,0.9029736221317234
0.0045000000000000005,0.01851511131232308,1.0,7.735300974492638,0.5038903049018569,0.887947308242567,0.9050065297661867
0.005,0.018514555756767526,1.0,7.816034262827689,0.5081721418166366,0.8870292372773294,0.9069688463261056
0.0055,0.018514000201211973,1.0,7.895429625700438,0.5124170323283302,0.8861301761165611,0.9088637262700652
0.006,0.018513444645656418,1.0,7.973497474367355,0.5166252847728326,0.8852497266113774,0.9106941712321762
0.006500000000000001,0.018512889090100862,1.0,8.050250214050767,0.5207972094008485,0.8843874831357517,0.9124630185499227
0.007,0.018512333534545306,1.0,8.125704418135024,0.5249331243799845,0.8835430091489412,0.9141729461914015
0.0075,0.01851177797898975,1.0,8.199877942850017,0.5290333478778476,0.8827158681102032,0.915826489308258
0.008,0.018511222423434195,1.0,8.272787255543822,0.5330981905152641,0.8819056512811957,0.9174260547354692
0.0085,0.01851066686787864,1.0,8.344443085865382,0.5371279432202237,0.8811120224721426,0.9189739379614434
0.009000000000000001,0.018510111312323083,1.0,8.414862077517462,0.5411229108936347,0.8803345940169276,0.9204723045108487
0.0095,0.018509555756767528,1.0,8.484062322764128,0.5450833995566203,0.8795729741225492,0.9219232072428118
0.01,0.018509000201211972,1.0,8.552062777522815,0.5490097147227757,0.878826772683119,0.9233285941625827
0.0105,0.018508444645656416,1.0,8.618877904004353,0.5529021448466016,0.8780956563838094,0.924690324756528
0.011,0.01850788909010086,1.0,8.68452329925971,0.5567609793758794,0.8773792892270924,0.9260101644005158
0.0115,0.018507333534545305,1.0,8.749016279270913,0.5605865107275391,0.8766773263022547,0.9272897887290591
0.012,0.01850677797898975,1.0,8.812373753729496,0.5643790277779147,0.875989435439733,0.9285307926516089
0.0125,0.018506222423434193,1.0,8.874612177554717,0.5681388158627465,0.8753152972111126,0.9297346949643347
0.013000000000000001,0.018505666867878637,1.0,8.935747504440991,0.5718661567771791,0.8746546049291294,0.9309029426669023
0.0135,0.018505111312323082,1.0,8.995795142358354,0.5755613287757633,0.8740070646476686,0.9320369150048144
0.014,0.018504555756767526,1.0,9.054769910931425,0.5792246065724542,0.8733723951617647,0.9331379272563789
0.0145,0.01850400020121197,1.0,9.112686213667834,0.5828562617618748,0.8727503258620065,0.9342072338455543
0.015,0.018503444645656415,1.0,9.169564264525308,0.5864565751637566,0.8721405338610895,0.9352460190720445
0.0155,0.018502889090100862,1.0,9.22542248303176,0.5900258217577363,0.8715427207248132,0.9362554162681489
0.016,0.018502333534545307,1.0,9.280276510816933,0.5935642688688404,0.8709566217138706,0.9372365123553154
0.0165,0.01850177797898975,1.0,9.334141572995637,0.5970721809139844,0.8703819816087043,0.9381903456366365
0.017,0.018501222423434195,1.0,9.387032448047776,0.600549819401971,0.8698185547095085,0.9391179084016614
0.0175,0.01850066686787864,1.0,9.43896343892374,0.6039974429334917,0.8692661048362279,0.940020149373745
0.018000000000000002,0.018500111312323084,1.0,9.489948345329982,0.6074153072011248,0.8687244053285583,0.9408979760104411
0.0185,0.018499555756767528,1.0,9.540000437153,0.6108036649893378,0.8681932390459458,0.9417522566666884
0.019,0.018499000201211972,1.0,9.589132687916923,0.6141627666448798,0.8676723958253836,0.9425838221588679
