Time [s],Lmtc [m],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ]
0.0,0.019519248309122668,1.0,9.931436994474229,0.22528284820187702,1.1059348138917844,0.653978114733574
0.001,0.019474248309122668,1.0,7.347262272262594,0.23859922696581554,1.1056115765501076,0.6939186032233495
0.002,0.019429248309122668,1.0,6.0980329646031555,0.2516867145363442,1.1040459980214488,0.727544124549057
0.003,0.019384248309122668,1.0,5.540200091759303,0.2645492454553978,1.1016995211179572,0.7560518760632544
0.004,0.01933924830912267,1.0,5.325085612757623,0.2771906859721831,1.0989205675624956,0.7804241384495686
0.005,0.01929424830912267,1.0,5.278745875343623,0.2896148366977633,1.0959170909075224,0.801407616780495
0.006,0.01924924830912267,1.0,5.3144040128965635,0.30182543248161076,1.092802804491925,0.8195757003423303
0.007,0.01920424830912267,1.0,5.387734008717145,0.31382614429003053,1.0896381004350415,0.8353811747283058
0.008,0.01915924830912267,1.0,5.47611920333505,0.3256205786923144,1.0864540369276166,0.8491895419912299
0.009000000000000001,0.01911424830912267,1.0,5.567729387363898,0.33721228299504213,1.0832666691960338,0.8613008629299062
0.01,0.01906924830912267,1.0,5.656897187111635,0.3486047402950884,1.080083489490533,0.8719635409564287
0.011,0.01902424830912267,1.0,5.740929397780891,0.3598013773406751,1.0769078955655333,0.8813848598067734
0.012,0.01897924830912267,1.0,5.818848501716581,0.370805551450191,1.0737409820074864,0.8897384902119954
0.013000000000000001,0.01893424830912267,1.0,5.890390660303074,0.3816205932924859,1.0705829131288114,0.897170641113672
0.014,0.01888924830912267,1.0,5.95587240183377,0.39224972918260714,1.067433124689542,0.9038046156554702
0.015,0.01884424830912267,1.0,6.015670909451555,0.4026961256149521,1.0642910020070724,0.9097448951756865
0.016,0.01879924830912267,1.0,6.070309126436931,0.4129630105435952,1.061155770685967,0.9150802729821029
0.017,0.018754248309122666,1.0,6.1202340037691245,0.4230534545637035,1.0580267757947166,0.9198863819072424
0.018000000000000002,0.018709248309122666,1.0,6.165845679494138,0.4329704307195575,1.0549034398271289,0.9242278597414054
0.019,0.018664248309122666,1.0,6.207556442267906,0.4427169120554373,1.0517851852770115,0.928160143183618
0.02,0.018619248309122666,1.0,6.245760788430546,0.4522958094152695,1.0486714699169273,0.9317309054408016
0.021,0.018574248309122667,1.0,6.280822496486853,0.4617100475298633,1.04556180057404,0.934981307566767
0.022,0.018529248309122667,1.0,6.313078372065758,0.47096262171220316,1.0424557263840784,0.937947018404667
0.023,0.018484248309122667,1.0,6.342716291417358,0.48005619074929545,1.0393529877447767,0.9406589263168986
0.024,0.018439248309122667,1.0,6.369927914482219,0.4889934134281464,1.0362533250538695,0.9431439395207025
0.025,0.018394248309122667,1.0,6.394908254943207,0.49777694853576215,1.0331564787090912,0.945425567396668
0.026000000000000002,0.018349248309122667,1.0,6.417855285094847,0.5064094548591489,1.030062189108176,0.9475244085280037
0.027,0.018304248309122667,1.0,6.438969575528839,0.514893591185313,1.0269701966488582,0.9494585615068297
0.028,0.018259248309122667,1.0,6.458376089107991,0.5232318271604985,1.0238803370659229,0.9512439374177157
0.029,0.018214248309122667,1.0,6.476200507759352,0.5314268895209459,1.0207924471095735,0.9528946648099917
0.03,0.018169248309122667,1.0,6.4925226107972644,0.5394811362235653,1.0177064212480238,0.9544231706557954
0.031,0.018124248309122667,1.0,6.507421518149552,0.5473969164025437,1.0146221559662436,0.9558404911673736
0.032,0.018079248309122668,1.0,6.5209772384362,0.555176579192068,1.0115395477492024,0.9571564527251841
0.033,0.018034248309122668,1.0,6.533270577582868,0.5628224737263249,1.0084584930818705,0.9583798249220885
0.034,0.017989248309122668,1.0,6.544383052971627,0.5703369491395013,1.0053788884492176,0.9595184519637032
0.035,0.017944248309122668,1.0,6.554378153812217,0.577722297144265,1.0023006530100713,0.9605793575024193
0.036000000000000004,0.017899248309122668,1.0,6.563297444619471,0.5849806910172106,0.9992237331605403,0.961568832383315
0.037,0.017854248309122668,1.0,6.571143874554837,0.5921143410566113,0.9961481226404533,0.9624925560154504
0.038,0.017809248309122668,1.0,6.577901474779206,0.5991253726789486,0.9930738384749667,0.9633556401294814
0.039,0.01776424830912267,1.0,6.583564545386077,0.6060158801940514,0.990000885531425,0.9641626987630405
0.04,0.01771924830912267,1.0,6.588130230425712,0.61278795202689,0.9869292655539195,0.9649179100428398
0.041,0.01767424830912267,0.0,6.587863609624809,0.5994405353656168,0.9838635034564203,0.9619636705668164
0.042,0.01762924830912267,0.0,6.572580710833853,0.5761855434842565,0.9808159527214542,0.9564975520929736
0.043000000000000003,0.01758424830912267,0.0,6.545475155942997,0.5538326166388712,0.9777827931346612,0.9502896719591265
0.044,0.01753924830912267,0.0,6.5086644293226135,0.532347065256346,0.974761531970986,0.9432516119981843
0.045,0.01749424830912267,0.0,6.463531599007248,0.5116948625091395,0.971750577893959,0.9352879840851694
0.046,0.01744924830912267,0.0,6.410360166525401,0.4918439117437065,0.9687496907714236,0.9262976336552207
0.047,0.01740424830912267,0.0,6.34911801015147,0.472763237908757,0.9657590358560673,0.9161743513475415
0.048,0.01735924830912267,0.0,6.279543825541967,0.45442257076410136,0.9627790860458298,0.9048081899825368
0.049,0.01731424830912267,0.0,6.20108305351494,0.43679354997710884,0.9598107126590524,0.892088366802054
0.05,0.01726924830912267,0.0,6.113148085401477,0.4198485838636358,0.9568548756077017,0.877905533352616
0.051000000000000004,0.01722424830912267,0.0,6.015095336075207,0.40356070033973884,0.9539126629274645,0.862155154772588
0.052000000000000005,0.017179248309122666,0.0,5.906235875166052,0.38790486066219354,0.9509852912977108,0.8447430655765771
0.053,0.01713424830912267,0.0,5.785939501251948,0.3728565506978138,0.9480739883854649,0.82558945662526
0.054,0.017089248309122666,0.0,5.65361519963383,0.3583917889492423,0.9451800317586128,0.8046343122758938
0.055,0.01704424830912267,0.0,5.508813928546522,0.34448823974405385,0.9423046299291158,0.7818447907812289
0.056,0.016999248309122666,0.0,5.351232901302851,0.3311242574086376,0.9394489275081578,0.7572202438558628
