Time [s],Lmtc [m],STIM [ ],fGM [N],fGL [N]
0.0,0.048014864325523376,0.00091552734375,0.16671542823314667,0.06916487216949463
0.0004999999999999449,0.04801487550139427,0.0,0.16657014191150665,0.06895095109939575
0.0010000000000000009,0.048014722764492035,0.00030517578125,0.16705241799354553,0.06801522523164749
0.0014999999999999458,0.048014864325523376,0.00030517578125,0.16694629192352295,0.06797602027654648
0.0020000000000000018,0.0480145625770092,0.0006103515625,0.16713778674602509,0.06746423244476318
0.0024999999999999467,0.04801489785313606,0.0,0.16723985970020294,0.06824612617492676
0.0030000000000000027,0.048014916479587555,0.001220703125,0.16711640357971191,0.06769987940788269
0.0034999999999999476,0.048014819622039795,0.0,0.16682416200637817,0.06789641082286835
0.0040000000000000036,0.04801499471068382,0.00030517578125,0.16700612008571625,0.06945610791444778
0.0044999999999999485,0.04801485314965248,0.0006103515625,0.1668996810913086,0.06783218681812286
0.0050000000000000044,0.04801470786333084,0.00030517578125,0.1666116565465927,0.06754039227962494
0.005499999999999949,0.04801502078771591,0.00030517578125,0.16676165163516998,0.0679381862282753
0.006000000000000005,0.04801459610462189,0.0006103515625,0.1674705296754837,0.06673593819141388
0.00649999999999995,0.04801489785313606,0.0006103515625,0.16707639396190643,0.06829509139060974
0.007000000000000006,0.04801468923687935,0.00030517578125,0.1671634018421173,0.06776318699121475
0.007499999999999951,0.048014696687459946,0.0006103515625,0.16725127398967743,0.06820089370012283
0.008000000000000007,0.04801530763506889,0.00030517578125,0.16670507192611694,0.06896023452281952
0.008499999999999952,0.048014551401138306,0.0006103515625,0.16715335845947266,0.06758046895265579
0.009000000000000008,0.04801492020487785,0.0006103515625,0.16732415556907654,0.06841827183961868
0.009499999999999953,0.048014771193265915,0.0006103515625,0.1670028269290924,0.06789081543684006
0.010000000000000009,0.04801461845636368,0.0006103515625,0.16668923199176788,0.06734990328550339
0.010499999999999954,0.048014719039201736,0.0006103515625,0.16698189079761505,0.06859149038791656
0.01100000000000001,0.04801466315984726,0.00030517578125,0.16719959676265717,0.0674365758895874
0.011499999999999955,0.0480148047208786,0.0006103515625,0.16681566834449768,0.06763056665658951
0.01200000000000001,0.04801493138074875,0.0006103515625,0.16673466563224792,0.06740988790988922
0.012499999999999956,0.04801453277468681,0.00030517578125,0.16693446040153503,0.0677141323685646
0.013000000000000012,0.04801496863365173,0.0006103515625,0.16693150997161865,0.067664235830307
0.013499999999999956,0.04801488667726517,0.00091552734375,0.16732744872570038,0.0676594078540802
0.014000000000000012,0.04801464080810547,0.00030517578125,0.16698689758777618,0.06794977933168411
0.014499999999999957,0.04801493510603905,0.00091552734375,0.16720283031463623,0.06754746288061142
0.015000000000000013,0.04801443964242935,0.00030517578125,0.16652697324752808,0.06711606681346893
0.015499999999999958,0.04801448434591293,0.0006103515625,0.16573847830295563,0.06730841845273972
0.016000000000000014,0.048013836145401,0.0006103515625,0.16366304457187653,0.06783298403024673
0.01649999999999996,0.04801153391599655,0.0006103515625,0.16042619943618774,0.06736458837985992
0.017000000000000015,0.0480082631111145,0.00030517578125,0.15617039799690247,0.06799858808517456
0.01749999999999996,0.04800306260585785,0.0,0.15109261870384216,0.06775015592575073
0.018000000000000016,0.047996073961257935,0.0006103515625,0.14618676900863647,0.06777533143758774
0.01849999999999996,0.04798794165253639,0.0006103515625,0.14103546738624573,0.0679410919547081
0.019000000000000017,0.047977954149246216,0.0006103515625,0.13614371418952942,0.06780233979225159
0.019499999999999962,0.04796638712286949,0.0,0.13175222277641296,0.06733585149049759
0.020000000000000018,0.04795508086681366,0.00030517578125,0.12808653712272644,0.0676758885383606
0.020499999999999963,0.04794248193502426,0.00091552734375,0.1244615688920021,0.06835062801837921
0.02100000000000002,0.04793041571974754,0.001220703125,0.12132028490304947,0.06814157962799072
0.021499999999999964,0.04791727662086487,0.0,0.11885812133550644,0.067293681204319
0.02200000000000002,0.04790439456701279,0.0006103515625,0.11705976724624634,0.06759155541658401
0.022499999999999964,0.0478912778198719,0.0,0.11502192169427872,0.06761706620454788
0.02300000000000002,0.04787805303931236,0.0006103515625,0.11301461607217789,0.06736001372337341
0.023499999999999965,0.047865331172943115,0.0006103515625,0.1119648665189743,0.06812198460102081
0.02400000000000002,0.04785251244902611,0.00030517578125,0.11011350899934769,0.06791837513446808
0.024499999999999966,0.047839656472206116,0.00030517578125,0.10848594456911087,0.06732059270143509
0.025000000000000022,0.04782751575112343,0.00030517578125,0.10719066113233566,0.06782249361276627
0.025499999999999967,0.04781455919146538,0.0006103515625,0.1061474159359932,0.06755304336547852
0.026000000000000023,0.047801803797483444,0.00030517578125,0.10475980490446091,0.06732989847660065
0.026499999999999968,0.0477895513176918,0.0,0.10360285639762878,0.06758053600788116
0.027000000000000024,0.047776587307453156,0.0006103515625,0.10237069427967072,0.06763298064470291
0.02749999999999997,0.04776443913578987,0.00091552734375,0.10152719169855118,0.06844709813594818
0.028000000000000025,0.04775188863277435,0.00091552734375,0.09947539865970612,0.06690875440835953
0.02849999999999997,0.04773939028382301,0.00030517578125,0.09911372512578964,0.06788655370473862
0.029000000000000026,0.0477270781993866,0.00030517578125,0.0982273519039154,0.06735251843929291
0.02949999999999997,0.04771457985043526,0.00030517578125,0.09695090353488922,0.06729164719581604
0.030000000000000027,0.047702010720968246,0.0,0.09595762938261032,0.06750600785017014
0.03049999999999997,0.04768981412053108,0.00030517578125,0.09497303515672684,0.06650751084089279
0.031000000000000028,0.04767734184861183,0.0006103515625,0.09378260374069214,0.06867548823356628
