Time [s],Lmtc [m],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ]
0.0,0.0190472449071905,0.9999939156861756,5.588705762089461,0.5937544430289395,1.1512856207725124
0.0007582280363274,0.0190099216418346,0.9999938243818024,5.623392771056841,0.5993011512846644,1.148508146437835
0.0015164560726549,0.0189726826152834,0.999993733012148,5.657382533378154,0.6047721247066922,1.1457381281111367
0.0022746841089824,0.0189355252070742,0.9999936415143268,5.690683294481794,0.6101683973616107,1.1429753494994408
0.0030329121453099,0.0188984468561631,0.9999935498233032,5.7233028999160585,0.61549098919622,1.140219599858592
0.0037911401816373,0.0188614450584206,0.9999934578717988,5.755248821318127,0.6207409062302954,1.137470673734348
0.0045493682179648,0.0188245173642299,0.9999933655901844,5.786528180036222,0.6259191407467103,1.1347283707175522
0.0053075962542923,0.0187876613761842,0.9999932729063588,5.817147768655514,0.6310266714789656,1.1319924952123683
0.0060658242906198,0.0187508747468767,0.9999931797456127,5.847114070647992,0.6360644637961567,1.1292628562166358
0.0068240523269472,0.0187141551767815,0.999993086030477,5.876433278339957,0.6410334698854132,1.1265392671134966
0.0075822803632747,0.0186775004122178,0.9999929916805524,5.905111309368077,0.6459346289318436,1.1238215454735152
0.0083405083996022,0.0186409082433965,0.9999928966123252,5.933153821775054,0.6507688672960231,1.121109512866564
0.0090987364359297,0.0186043765025421,0.999992800738961,5.960566227878453,0.6555370986890543,1.1184029946828304
0.0098569644722571,0.018567903062089,0.99999270397008,5.987353707031264,0.6602402243452353,1.11570181996233
0.0106151925085846,0.018531485832946,0.9999926062115092,6.013521217379461,0.6648791331923662,1.113005821232375
0.0113734205449121,0.0184951227628272,0.9999925073650116,6.039073506710259,0.6694547020197289,1.1103148343524736
0.0121316485812396,0.0184588118346454,0.99999240732799,6.064015122474501,0.6739677956437676,1.1076286983661905
0.012889876617567,0.0184225510649639,0.9999923059931612,6.088350421057782,0.6784192670715034,1.104947255359526
0.0136481046538945,0.0183863384493981,0.9999922032482028,6.112081116356345,0.6828099576617146,1.1022703503253986
0.014406332690222,0.0183501709213959,0.9999920989753626,6.13515800921492,0.6871406972839105,1.099597831033854
0.0151645607265495,0.0183140461378969,0.9999919930510324,6.157563619111769,0.6914123044751287,1.0969295479076475
0.0159227887628769,0.0182779622518057,0.9999918853452832,6.179301970992533,0.6956255865945868,1.094265353902865
0.0166810167992044,0.018241917441718,0.9999917757213518,6.200376918722359,0.6997813399762158,1.0916051043942727
0.0174392448355319,0.0182059099107019,0.9999916640350798,6.220792151426259,0.703880350079103,1.0889486570651157
0.0181974728718594,0.0181699378851181,0.9999915501342966,6.240551199401545,0.7079233916358744,1.086295871801087
0.0189557009081868,0.0181339996134761,0.9999914338581412,6.259657439635142,0.7119112287990425,1.08364661058822
0.0197139289445143,0.0180980933653239,0.9999913150363148,6.27811410095546,0.7158446152853456,1.0810007374144583
0.0204721569808418,0.0180622174301697,0.9999911934882558,6.295924268845658,0.7197242945181072,1.078358118174694
0.0212303850171693,0.0180263701164348,0.9999910690222322,6.313090889942748,0.7235509997676399,1.0757186205790517
0.0219886130534967,0.0179905497504337,0.9999909414343336,6.329616776244684,0.7273254542897197,1.0730821140642273
0.0227468410898242,0.0179547546753818,0.999990810507357,6.345504609045595,0.7310483714621572,1.0704484697076928
0.0235050691261517,0.0179189832504281,0.999990676009571,6.360756942617504,0.7347204549194853,1.0678175601445914
0.0242632971624792,0.0178832338497115,0.9999905376933408,6.375376207655284,0.7383423986857972,1.065189259487158
0.0250215251988067,0.0178475048614393,0.9999903952935972,6.389364714500076,0.7419148873057438,1.062563443246506
0.0257797532351341,0.0178117946869864,0.9999902485261304,6.40272465615512,0.7454385959737302,1.059939988256625
0.0265379812714616,0.0177761017400132,0.9999900970856794,6.415458111106695,0.7489141906613175,1.057318772600459
0.0272962093077891,0.0177404244456027,0.9999899406437956,6.427567045961811,0.7523423282428643,1.0546996755379192
0.0280544373441166,0.0177047612394128,0.9999897788464394,6.439053317913269,0.7557236566194201,1.0520825774357063
0.028812665380444,0.0176691105668452,0.9999896113112808,6.4499186770418415,0.7590588148408948,1.0494673596988182
0.0295708934167715,0.0176334708822276,0.9999894376246506,6.460164768464471,0.7623484332265271,1.0468539047036232
0.030329121453099,0.0175978406480092,0.9999892573380956,6.469793134336632,0.7655931334836599,1.0442420957323908
0.0310873494894265,0.0175622183339679,0.999989069964472,6.478805215716333,0.7687935288248516,1.0416318169091665
0.0318455775257539,0.0175266024164288,0.9999888749735054,6.487202354296601,0.771950224083336,1.039022953136887
0.0326038055620814,0.0174909913774907,0.9999886717867296,6.494985794012667,0.7750638158268396,1.0364153900356357
0.0333620335984089,0.0174553837042631,0.9999884597717004,6.502156682529629,0.7781348924697805,1.03380901388194
0.0341202616347364,0.0174197778881091,0.9999882382353604,6.508716072615798,0.7811640343838555,1.031203711549021
0.0348784896710638,0.017384172423895,0.9999880064164056,6.514664923406491,0.7841518140070259,1.0285993704478935
0.0356367177073913,0.0173485658092459,0.9999877634764734,6.520004101562649,0.7870987959509097,1.0259958784692418
0.0363949457437188,0.017312956543805,0.9999875084899358,6.524734382328259,0.7900055371065913,1.0233931239259697
0.0371531737800463,0.0172773431284962,0.9999872404320312,6.528856450490145,0.7928725867488433,1.0207909954963506
0.0379114018163737,0.0172417240647895,0.9999869581650108,6.532370901243448,0.7957004866387626,1.0181893821676908
0.0386696298527012,0.0172060978539669,0.9999866604219032,6.535278240965672,0.7984897711248219,1.0155881731804228
