Time [s],Lmtc [m],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ]
0.0,0.020308975714664942,1.0,1.5160469702445296,0.053834068147349,1.2877758993244908,0.04571746879365749
0.001,0.020297923083085995,1.0,1.084328950396778,0.07634359050941211,1.288604590026343,0.12023813391754755
0.002,0.020286870451507046,1.0,1.4694597736152075,0.09831760576736959,1.286283948917446,0.22948195900427915
0.003,0.0202758178199281,1.0,2.182529322602792,0.1197688537262103,1.2831410055302634,0.35406739464515724
0.004,0.020264765188349153,1.0,2.9984687276651854,0.14070977084510777,1.2800928008408738,0.47439378288612943
0.005,0.020253712556770206,1.0,3.8395780557946297,0.16115249801377976,1.2772749447183234,0.5786757796425359
0.006,0.020242659925191257,1.0,4.656780759003339,0.1811088894710756,1.2747136821759317,0.6634314328463742
0.007,0.02023160729361231,1.0,5.418017974366486,0.20059051300664305,1.2724034743207462,0.7300285223034664
0.008,0.020220554662033364,1.0,6.10602220254269,0.21960865627434928,1.2703230770403064,0.7816108820477561
0.009000000000000001,0.020209502030454414,1.0,6.714758733266805,0.23817437013162407,1.2684444894997178,0.8214573754802664
0.01,0.020198449398875468,1.0,7.245176765599917,0.25629836209922097,1.2667391085595845,0.8523635755718808
0.011,0.02018739676729652,1.0,7.7032883253765325,0.27399122333735315,1.2651786688144466,0.8765208436934646
0.012,0.020176344135717575,1.0,8.096205563695753,0.2912631893631774,1.26373944703955,0.895584050097568
0.013000000000000001,0.020165291504138625,1.0,8.431352357633319,0.3081241897766769,1.2624015244573252,0.9107829425725604
0.014,0.02015423887255968,1.0,8.717450374095614,0.32458408369958114,1.2611460041487716,0.9230269431687681
0.015,0.020143186240980732,1.0,8.961569497642131,0.3406523972900271,1.2599585426285318,0.9329910828545542
0.016,0.020132133609401782,1.0,9.17015604061011,0.3563384299229843,1.2588270801762769,0.9411789667727624
0.017,0.020121080977822836,1.0,9.349077999626346,0.371651318337403,1.2577413374278799,0.947969275484511
0.018000000000000002,0.02011002834624389,1.0,9.502920646501648,0.3865998791202014,1.256693514702281,0.95364942282026
