Time [s],Lmtc [m],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ]
0.0,0.017309415649724245,1.0,4.180099146107054,0.12435884171748551,1.055613755292268
0.0005,0.01730199762964415,1.0,3.82134132598966,0.1348324979273442,1.0558400050332004
0.001,0.017294579609564056,1.0,3.6795735511873753,0.14518106742410472,1.0556029179438267
0.0015,0.01728716158948396,1.0,3.7033143225741725,0.15540586649543056,1.05499252834863
0.002,0.017279743569403865,1.0,3.8438704808686905,0.1655083037142753,1.0541203580684735
0.0025,0.017272325549323772,1.0,4.060245234014567,0.17548993070872582,1.0530889741993104
0.003,0.017264907529243676,1.0,4.329207678433077,0.18535216289240736,1.0519594795266929
0.0035,0.01725748950916358,1.0,4.633393684381176,0.19509642969193958,1.0507759961746606
0.004,0.017250071489083488,1.0,4.960032080462852,0.2047241424873577,1.0495687447828261
0.0045000000000000005,0.017242653469003392,1.0,5.300035523791472,0.2142366953158619,1.0483572471932376
0.005,0.017235235448923296,1.0,5.646493563852915,0.22363546560639277,1.047154589526285
0.0055,0.0172278174288432,1.0,5.994279486776809,0.23292181378724908,1.0459691036906884
0.006,0.017220399408763108,1.0,6.338758921255781,0.24209708493919455,1.044807344516857
0.006500000000000001,0.01721298138868301,1.0,6.676743959835744,0.25116260769810955,1.0436727834857393
0.007,0.017205563368602916,1.0,7.005887295915825,0.2601196948021195,1.042567247321344
0.0075,0.017198145348522823,1.0,7.324396781988435,0.2689696433197346,1.0414916005570356
0.008,0.017190727328442727,1.0,7.6309744265910435,0.27771373478742134,1.0404459618595798
0.0085,0.01718330930836263,1.0,7.924926685657467,0.28635323527507883,1.039429613350137
0.009000000000000001,0.01717589128828254,1.0,8.205568302274257,0.29488939595202035,1.038441982032006
0.0095,0.017168473268202443,1.0,8.472696297795355,0.30332345277857176,1.0374819096607166
0.01,0.017161055248122347,1.0,8.726197740929326,0.3116566271766406,1.036548268466008
