Time [s],Lmtc [m],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ]
0.0,0.022307955643097236,1.0,1.1938319316580959,0.0027911397148788256,1.4389496355632345
0.0005,0.022298515041282694,1.0,0.765202022827056,0.014724464273039434,1.440142750526722
0.001,0.022289074439468152,1.0,0.7578731382735215,0.02651498601340816,1.4394711619680405
0.0015,0.022279633837653606,1.0,0.7625626886664872,0.03816441381535906,1.4387394575524393
0.002,0.022270193235839064,1.0,0.797151888693193,0.0496744361243926,1.4378603003063142
0.0025,0.022260752634024522,1.0,0.8929321667898609,0.061046721157400806,1.4366972339738375
0.003,0.02225131203220998,1.0,1.0553747185554032,0.07228291717047433,1.4352702067939633
0.0035,0.022241871430395438,1.0,1.2481864562451512,0.08338465270734241,1.4337773347989766
0.004,0.022232430828580896,1.0,1.4471990688250658,0.09435353683875947,1.4323205502325895
0.0045000000000000005,0.02222299022676635,1.0,1.6490909999644485,0.1051911587150525,1.4309039076946106
0.005,0.022213549624951808,1.0,1.8527732611185164,0.11589909143082845,1.4295237159788594
0.0055,0.022204109023137266,1.0,2.055348856140525,0.12647888335505503,1.4281829192322668
0.006,0.022194668421322724,1.0,2.2534826910515187,0.13693207120257517,1.426885504733743
0.006500000000000001,0.022185227819508182,1.0,2.444329971085337,0.14726016818575036,1.4256337921452473
0.007,0.022175787217693636,1.0,2.6257435374008464,0.15746467005805348,1.424428294270796
0.0075,0.022166346615879094,1.0,2.796299101693075,0.16754706102755745,1.4232680034830778
0.008,0.022156906014064552,1.0,2.9554419787627597,0.1775087960752156,1.4221502410615268
0.0085,0.02214746541225001,1.0,3.1029939064641714,0.18735131939573652,1.421072049515407
0.009000000000000001,0.022138024810435468,1.0,3.2392490053404663,0.19707606703833885,1.4200299192414123
0.0095,0.022128584208620922,1.0,3.364717976768523,0.20668443771176898,1.4190203785193685
0.01,0.02211914360680638,1.0,3.4800379326368303,0.216177813877203,1.418040127304903
0.0105,0.022109703004991838,1.0,3.5860386243233786,0.22555757555562447,1.4170858070165302
0.011,0.022100262403177296,1.0,3.6838102844558214,0.2348251356107337,1.4161537957480996
0.0115,0.022090821801362754,1.0,3.7739137712983375,0.24398180015832896,1.415241950193731
0.012,0.022081381199548212,1.0,3.8569902090662005,0.2530288753142084,1.414348127047543
0.0125,0.022071940597733666,1.0,3.933750241233167,0.2619676671941702,1.4134701830036553
0.013000000000000001,0.022062499995919124,1.0,4.004964490154571,0.2707994819140126,1.412605974756187
0.0135,0.022053059394104582,1.0,4.071397044318014,0.2795256168963491,1.4117534848134008
0.014,0.02204361879229004,1.0,4.133555186881949,0.28814733930579084,1.410911338558364
0.0145,0.022034178190475498,1.0,4.191863353844861,0.2966658877059723,1.410078398810522
0.015,0.022024737588660952,1.0,4.246744539321207,0.30508249173275226,1.409253578358381
0.0155,0.02201529698684641,1.0,4.2985925278588475,0.3133983628727398,1.408435891457861
0.016,0.022005856385031868,1.0,4.347833765049328,0.3216147408178734,1.40762431694742
0.0165,0.021996415783217326,1.0,4.394736663762835,0.3297328060534829,1.4068181925418521
0.017,0.021986975181402784,1.0,4.439524811774278,0.3377537168668352,1.4060169681516514
0.0175,0.021977534579588242,1.0,4.482429210903715,0.3456786315451971,1.405220093687312
0.018000000000000002,0.021968093977773696,1.0,4.523687608926292,0.35350870837583553,1.4044270190593284
0.0185,0.021958653375959154,1.0,4.563476637145399,0.3612450604661758,1.4036373315935537
0.019,0.021949212774144612,1.0,4.602010184273767,0.3688888760810584,1.4028505520102805
0.0195,0.02193977217233007,1.0,4.639391362107403,0.37644123447868455,1.4020664349669267
0.02,0.021930331570515528,1.0,4.6757186853923125,0.3839032081849724,1.401284749543221
0.0205,0.021920890968700982,1.0,4.711092947164122,0.3912758697258402,1.4005052648188916
0.021,0.02191145036688644,1.0,4.745617078297466,0.3985602916272062,1.3997277498736667
0.021500000000000002,0.021902009765071898,1.0,4.779393848414182,0.40575754102255635,1.3989519781237907
0.022,0.021892569163257356,1.0,4.8124847391110555,0.41286861869951524,1.39817780882821
0.0225,0.021883128561442814,1.0,4.84498938889033,0.4198946696355818,1.397405027961137
0.023,0.021873687959628272,1.0,4.876944751955237,0.42683667044284984,1.3966335485547026
0.0235,0.021864247357813726,1.0,4.908388499829764,0.43369559773341304,1.3958632836410367
0.024,0.021854806755999184,1.0,4.939358992629588,0.44047242811936527,1.3950941462522697
0.0245,0.021845366154184642,1.0,4.969895252318199,0.4471681382128002,1.3943260494205318
0.025,0.0218359255523701,1.0,5.000036937950894,0.4537837046258118,1.3935589061779532
0.025500000000000002,0.021826484950555558,1.0,5.029824322903318,0.4603201039704938,1.3927926295566644
0.026000000000000002,0.021817044348741012,1.0,5.0592836827310235,0.4667782285876621,1.3920271608955228
0.0265,0.02180760374692647,1.0,5.088447980423245,0.473159117102816,1.3912624293838676
0.027,0.02179816314511193,1.0,5.117338974254482,0.47946371008554944,1.3904983867228307
0.0275,0.021788722543297386,1.0,5.14597015476413,0.4856928820230749,1.3897350011370013
0.028,0.021779281941482844,1.0,5.174355231702595,0.49184750740260497,1.3889722408509677
0.0285,0.0217698413396683,1.0,5.202508128679225,0.4979284607113522,1.388210074089319
0.029,0.021760400737853756,1.0,5.230442978079698,0.5039366164365292,1.387448469076644
0.029500000000000002,0.021750960136039214,1.0,5.258174116244363,0.5098728490653484,1.3866873940375313
0.03,0.021741519534224672,1.0,5.285716078914013,0.5157380330850223,1.3859268171965695
0.0305,0.02173207893241013,1.0,5.313083596940128,0.5215330429827636,1.3851667067783477
0.031,0.021722638330595588,1.0,5.340282171496903,0.5272586261347701,1.3844070487960909
0.0315,0.021713197728781043,1.0,5.367326189853405,0.5329157799418541,1.383647812699583
0.032,0.0217037571269665,1.0,5.394221277332809,0.5385052899220503,1.3828889847354586
0.0325,0.02169431652515196,1.0,5.420972619701645,0.5440279311275663,1.382130552136272
0.033,0.021684875923337416,1.0,5.447585482629755,0.5494844786106099,1.3813725021345764
0.0335,0.021675435321522874,1.0,5.4740652103853185,0.5548757074233889,1.3806148219629264
0.034,0.02166599471970833,1.0,5.500417224574347,0.5602023926181108,1.3798574988538757
0.0345,0.021656554117893786,1.0,5.526647022921315,0.5654653092469835,1.3791005200399786
0.035,0.021647113516079244,1.0,5.55276017809456,0.5706652323622144,1.3783438727537887
0.035500000000000004,0.021637672914264702,1.0,5.578762336571533,0.5758029370160116,1.3775875442278604
0.036000000000000004,0.02162823231245016,1.0,5.60465666802414,0.5808791026438674,1.3768315263939468
0.0365,0.021618791710635618,1.0,5.630447975049586,0.5858945724544944,1.3760758082696471
0.037,0.021609351108821073,1.0,5.656139532223677,0.5908500859589194,1.3753203817899164
0.0375,0.02159991050700653,1.0,5.681733546247217,0.5957463264999763,1.3745652409302658
0.038,0.02159046990519199,1.0,5.707232260021073,0.6005839774204988,1.373810379666206
0.0385,0.021581029303377446,1.0,5.732637952198938,0.6053637220633208,1.3730557919732487
0.039,0.021571588701562904,1.0,5.75795293675119,0.610086243771276,1.3723014718269047
0.0395,0.02156214809974836,1.0,5.783179562535583,0.6147522258871982,1.3715474132026848
0.04,0.021552707497933817,1.0,5.808320212879319,0.6193623517539214,1.3707936100761007
0.0405,0.021543266896119274,1.0,5.83337730516979,0.6239173047142792,1.3700400564226634
0.041,0.021533826294304732,1.0,5.858353164480911,0.628417756472958,1.3692867464449923
0.0415,0.02152438569249019,1.0,5.883248736226477,0.6328642976551243,1.3685336768856406
0.042,0.021514945090675648,1.0,5.908066673656149,0.6372577049004962,1.3677808414570192
0.0425,0.021505504488861103,1.0,5.932808025045786,0.6415985796535477,1.3670282368074416
0.043000000000000003,0.02149606388704656,1.0,5.957473858528611,0.6458875233587529,1.3662758595852227
0.043500000000000004,0.02148662328523202,1.0,5.982065261893273,0.6501251374605859,1.365523706438676
0.044,0.021477182683417476,1.0,6.00658334238574,0.6543120234035203,1.3647717740161163
0.0445,0.021467742081602934,1.0,6.0310292265128185,0.6584487826320308,1.3640200589658575
0.045,0.02145830147978839,1.0,6.055404059850094,0.6625360165905909,1.3632685579362138
0.0455,0.021448860877973847,1.0,6.079709006852229,0.6665743267236749,1.3625172675754993
0.046,0.021439420276159304,1.0,6.1039452506649035,0.6705643144757568,1.3617661845320284
0.0465,0.021429979674344762,1.0,6.128113609850982,0.674506527190923,1.3610153061293848
0.047,0.02142053907253022,1.0,6.152215017296345,0.6784015771887095,1.360264629516977
0.0475,0.021411098470715675,1.0,6.1762504698386635,0.6822500708721962,1.3595141517599243
0.048,0.021401657868901133,1.0,6.200220529418518,0.6860525376029823,1.3587638707137988
0.0485,0.02139221726708659,1.0,6.224125770517101,0.6898095067426671,1.3580137842341726
0.049,0.02138277666527205,1.0,6.2479667800476895,0.6935215076528498,1.3572638901766174
0.0495,0.021373336063457506,1.0,6.271744157245488,0.6971890696951296,1.3565141863967054
0.05,0.021363895461642964,1.0,6.295458513560473,0.7008127222311059,1.3557646707500084
0.0505,0.02135445485982842,1.0,6.319110472550551,0.704392994622378,1.3550153410920982
0.051000000000000004,0.021345014258013877,1.0,6.342700669776812,0.707930416230545,1.354266195278547
0.051500000000000004,0.021335573656199334,1.0,6.366229752698508,0.7114255164172062,1.3535172311649266
0.052000000000000005,0.021326133054384792,1.0,6.3896979653153645,0.7148787429902296,1.352768447323635
0.0525,0.02131669245257025,1.0,6.413106105125316,0.7182906970116779,1.352019841388263
0.053,0.021307251850755705,1.0,6.436454551248978,0.7216618589024436,1.3512714117335733
0.0535,0.021297811248941163,1.0,6.459743632254034,0.7249926945803544,1.3505231568371323
0.054,0.02128837064712662,1.0,6.482973685527206,0.7282836699632377,1.3497750751765056
0.0545,0.02127893004531208,1.0,6.506145057205757,0.7315352509689212,1.3490271652292591
0.055,0.021269489443497536,1.0,6.529258102107921,0.7347479035152327,1.3482794254729593
0.0555,0.02126004884168299,1.0,6.552313183665025,0.7379220935199995,1.3475318543851715
0.056,0.02125060823986845,1.0,6.575310673853746,0.7410582869010494,1.3467844504434623
0.0565,0.021241167638053907,1.0,6.598250953128831,0.74415694957621,1.3460372121253972
0.057,0.021231727036239365,1.0,6.621134292075526,0.747218503527162,1.345290138109122
0.0575,0.021222286434424822,1.0,6.643960914525954,0.7502433779874081,1.344543227164679
0.058,0.02121284583261028,1.0,6.666731387670289,0.7532321321077359,1.3437964774938425
0.0585,0.021203405230795735,1.0,6.689445894264127,0.7561851692788648,1.343049887962728
0.059000000000000004,0.021193964628981193,1.0,6.712104623661035,0.7591028928915148,1.342303457437451
0.059500000000000004,0.02118452402716665,1.0,6.734707771764726,0.7619857063364054,1.3415571847841272
